NAME,CITY,STATE,ZIP,LAT,LON
Standley Lake High School,WESTMINSTER,CO,80021,39.8845,-105.101
Conifer Senior High School,CONIFER,CO,80433,39.5281,-105.3171
Dakota Ridge Senior High School,LITTLETON,CO,80127,39.604267,-105.149694
Ralston Valley Senior High School,ARVADA,CO,80005,39.8433,-105.1502
Jefferson Academy High School,BROOMFIELD,CO,80020,39.900598,-105.075281
McLain Community High School,LAKEWOOD,CO,80228,39.715057,-105.152045
Roosevelt High School,JOHNSTOWN,CO,80534,40.3392,-104.9134
Julesburg High School,JULESBURG,CO,80737,40.9908,-102.2679
Karval Junior-Senior High School,KARVAL,CO,80823,38.7383,-103.5348
Weld Central Senior High School,KEENESBURG,CO,80643,40.0701,-104.5101
Platte Valley High School,KERSEY,CO,80644,40.3896,-104.5522
Kim Undivided High School,KIM,CO,81049,37.247002,-103.353608
Kiowa High School,KIOWA,CO,80117,39.347969,-104.459917
Kit Carson Junior-Senior High School,KIT CARSON,CO,80825,38.767176,-102.791472
West Grand High School,KREMMLING,CO,80459,40.0602,-106.3797
Centauri High School,LA JARA,CO,81140,37.2479,-105.9703
La Junta Jr/Sr High School,LA JUNTA,CO,81050,37.9703,-103.538214
La Veta Junior-Senior High School,LA VETA,CO,81055,37.505,-105.0083
Lake County High School,LEADVILLE,CO,80461,39.24395,-106.304561
Cloud City High School,LEADVILLE,CO,80461,39.24395,-106.304561
Lamar High School,LAMAR,CO,81052,38.0708,-102.6287
Las Animas Junior High School,LAS ANIMAS,CO,81054,38.071194,-103.229805
Las Animas High School,LAS ANIMAS,CO,81054,38.070772,-103.229269
Limon Junior-Senior High School,LIMON,CO,80828,39.269299,-103.688063
Arapahoe High School,CENTENNIAL,CO,80122,39.5817,-104.9628
Heritage High School,LITTLETON,CO,80120,39.587,-105.0035
Highland Elementary School,CENTENNIAL,CO,80121,39.5978,-104.98
Littleton High School,LITTLETON,CO,80121,39.6139,-104.9841
Lone Star Undivided High School,OTIS,CO,80743,40.351053,-102.852216
Frederick Senior High School,FREDERICK,CO,80504,40.101412,-104.947995
Longmont High School,LONGMONT,CO,80501,40.1762,-105.1196
Lyons Middle/Senior High School,LYONS,CO,80540,40.2145,-105.2645
Niwot High School,NIWOT,CO,80503,40.1035,-105.1437
Skyline High School,LONGMONT,CO,80501,40.1829,-105.0814
New Meridian High School,LONGMONT,CO,80501,40.14602,-105.120568
Silver Creek High School,LONGMONT,CO,80503,40.1512,-105.1675
Erie High School,ERIE,CO,80516,40.048283,-105.016001
Mead High School,LONGMONT,CO,80504,40.18497,-104.99617
St. Vrain Virtual High School,LONGMONT,CO,80501,40.146,-105.1205
Highlands Elementary School,ERIE,CO,80516,40.039382,-105.027622
Berthoud High School,BERTHOUD,CO,80513,40.2987,-105.0862
Loveland High School,LOVELAND,CO,80538,40.4206,-105.0914
Thompson Valley High School,LOVELAND,CO,80537,40.388,-105.1027
Harold Ferguson High School,LOVELAND,CO,80538,40.408695,-105.102695
Mountain View High School,LOVELAND,CO,80537,40.4049,-105.0264
High Plains School,LOVELAND,CO,80538,40.41559,-105.019817
Mancos High School,MANCOS,CO,81328,37.3447,-108.2929
Manitou Springs High School,MANITOU SPRINGS,CO,80829,38.8558,-104.9036
Manzanola Junior-Senior High School,MANZANOLA,CO,81058,38.104622,-103.867141
Academy High School,THORNTON,CO,80229,39.85729,-104.958167
McClave Undivided High School,MC CLAVE,CO,81057,38.138504,-102.849389
Meeker High School,MEEKER,CO,81641,40.0414,-107.905
Merino Junior Senior High School,MERINO,CO,80741,40.4833,-103.3571
Miami-Yoder Middle/High School,RUSH,CO,80833,38.828531,-104.092407
Moffat County High School,CRAIG,CO,81625,40.5238,-107.565
Monte Vista Senior High School,MONTE VISTA,CO,81144,37.582542,-106.155234
Montrose High School,MONTROSE,CO,81401,38.473129,-107.872812
Olathe Middle/High School,OLATHE,CO,81425,38.605906,-107.97705500000001
Black Canyon High School,MONTROSE,CO,81401,38.473433,-107.874811
Lewis-Palmer High School,MONUMENT,CO,80132,39.0808,-104.8551
Palmer Ridge High School,MONUMENT,CO,80132,39.1125,-104.8621
Nucla High School,NUCLA,CO,81424,38.271,-108.5482
Soroco High School,OAK CREEK,CO,80467,40.273553,-106.952065
Otis Junior-Senior High School,OTIS,CO,80743,40.153821,-102.967983
Ouray Senior High School,OURAY,CO,81427,38.0242,-107.6691
Revere Junior-Senior High School,OVID,CO,80744,40.964385,-102.387026
Peetz Junior-Senior High School,PEETZ,CO,80747,40.961721,-103.117334
Peyton Senior High School,PEYTON,CO,80831,39.0329,-104.4939
Peyton Junior High School,PEYTON,CO,80831,39.0328,-104.4934
Pritchett High School,PRITCHETT,CO,81064,37.372592,-102.862237
Centennial High School,PUEBLO,CO,81008,38.3041,-104.6374
Central High School,PUEBLO,CO,81004,38.254,-104.6248
East High School,PUEBLO,CO,81001,38.2898,-104.5775
Highland Park Elementary School,PUEBLO,CO,81005,38.2208,-104.6611
South High School,PUEBLO,CO,81005,38.236535,-104.655437
Pueblo County High School,PUEBLO,CO,81006,38.2462,-104.4667
Rye High School,RYE,CO,81069,37.9251,-104.9292
Pueblo West High School,PUEBLO WEST,CO,81007,38.3144,-104.7733
Swallows Charter Academy High School,PUEBLO WEST,CO,81007,38.322417,-104.743075
Rangely Junior/Senior High School,RANGELY,CO,81648,40.0846,-108.8018
Ridgway High School,RIDGWAY,CO,81432,38.1637,-107.7569
Rifle High School,RIFLE,CO,81650,39.5418,-107.7903
Coal Ridge High School,NEW CASTLE,CO,81647,39.550486,-107.608904
Highland Elementary School,RIFLE,CO,81650,39.5377,-107.7649
Rocky Ford Junior/Senior High School,ROCKY FORD,CO,81067,38.0429,-103.7346
Salida High School,SALIDA,CO,81201,38.525552,-105.996215
Sanford Junior/Senior High School,SANFORD,CO,81151,37.257373,-105.908956
Sangre de Cristo Undivided High School,MOSCA,CO,81146,37.678072,-105.880054
Sargent Senior High School,MONTE VISTA,CO,81144,37.676916,-106.111228
Sargent Junior High School,MONTE VISTA,CO,81144,37.676916,-106.111228
Discovery High School,COLORADO SPRINGS,CO,80911,38.755349,-104.735985
Janitell Junior High School,FOUNTAIN,CO,80817,38.7209,-104.698
Sproul Junior High School,COLORADO SPRINGS,CO,80911,38.7633,-104.7473
Watson Junior High School,COLORADO SPRINGS,CO,80911,38.7379,-104.723
Widefield High School,COLORADO SPRINGS,CO,80911,38.754487,-104.735416
Mesa Ridge High School,COLORADO SPRINGS,CO,80911,38.722,-104.7103
Sheridan High School,ENGLEWOOD,CO,80110,39.643753,-105.029787
Silverton High School,SILVERTON,CO,81433,37.812302,-107.666125
Simla High School,SIMLA,CO,80835,39.138928,-104.091082
Simla Junior High School,SIMLA,CO,80835,39.138928,-104.091082
Springfield Junior/Senior High School,SPRINGFIELD,CO,81073,37.409793,-102.621306
Steamboat Springs High School,STEAMBOAT SPRINGS,CO,80487,40.4857,-106.823
Yampa Valley High School,STEAMBOAT SPRINGS,CO,80487,40.487907,-106.831622
Caliche Junior-Senior High School,ILIFF,CO,80736,40.8238,-102.9593
Sterling High School,STERLING,CO,80751,40.6344,-103.2174
Prairie Junior-Senior High School,NEW RAYMER,CO,80742,40.615742,-103.802453
Strasburg High School,STRASBURG,CO,80136,39.743703,-104.323736
Prairie Creek High School,STRASBURG,CO,80136,39.743607,-104.321906
Stratton Senior High School,STRATTON,CO,80836,39.3042,-102.6007
Summit High School,BRECKENRIDGE,CO,80424,39.565802,-106.056058
Snowy Peaks Junior/Senior High School,FRISCO,CO,80443,39.583454,-106.088686
Swink Junior-Senior High School,SWINK,CO,81077,38.010755,-103.626609
Telluride High School,TELLURIDE,CO,81435,37.9417,-107.8195
Northglenn High School,NORTHGLENN,CO,80221,39.8799,-104.9939
Thornton High School,THORNTON,CO,80229,39.8668,-104.98
Horizon High School,BRIGHTON,CO,80601,39.944266,-104.925881
Legacy High School,BROOMFIELD,CO,80020,39.9441,-105.0195
Mountain Range High School,WESTMINSTER,CO,80234,39.9247,-104.9949
Plainview Junior-Senior High School,SHERIDAN LAKE,CO,81071,38.469647,-102.217383
Trinidad High School,TRINIDAD,CO,81082,37.17,-104.5169
Vilas Undivided High School,VILAS,CO,81087,37.373651,-102.449444
John Mall Jr/Sr High School,WALSENBURG,CO,81089,37.632625,-104.790627
Walsh High School,WALSH,CO,81090,37.386464,-102.283761
Weldon Valley Jr/Sr High School,WELDONA,CO,80653,40.35009,-103.967918
Custer County High School,WESTCLIFFE,CO,81252,38.136481,-105.460783
Westminster High School,WESTMINSTER,CO,80030,39.821519,-105.042934
Hidden Lake High School,WESTMINSTER,CO,80030,39.8293,-105.0333
Primero Junior-Senior High School,WESTON,CO,81091,37.128165,-104.793057
Wiggins High School,WIGGINS,CO,80654,40.227085,-104.07671
Wiley Junior-Senior High School,WILEY,CO,81092,38.1565,-102.7209
Windsor High School,WINDSOR,CO,80550,40.4817,-104.9155
Windsor Charter Academy Early College High School,WINDSOR,CO,80550,40.469235,-104.88786
Severance High School,SEVERANCE,CO,80550,40.503392,-104.853124
Woodland Park High School,WOODLAND PARK,CO,80863,38.994968,-105.044675
Woodlin Undivided High School,WOODROW,CO,80757,39.78914,-103.516796
Centennial BOCES High School,GREELEY,CO,80634,40.405733,-104.767888
Innovative Connections High School,GREELEY,CO,80634,40.254393,-103.812543
